Dataset_Name,Adaptor,lora_rank,clipi,clipt,num_train_epochs,no_of_images,learning_rate,learning_rate_text,alpha_text,alpha_unet,output_path,with_prior_preservation
dog6,1,8,0.7177734375,0.3006525812922297,2,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_400_True/images,True
clock,1,8,0.73681640625,0.3188999720982143,2,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_400_True/images,True
teapot,1,8,0.78857421875,0.3464599609375,2,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_5e-06_400_True/images,True
dog6,1,8,0.72021484375,0.2952418971706081,80,5,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_400_False/images,False
clock,1,8,0.7470703125,0.3129621233258928,67,6,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_400_False/images,False
dog6,1,8,0.7236328125,0.2985245988175675,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_800_True/images,True
clock,1,8,0.7412109375,0.3170514787946428,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_800_True/images,True
teapot,1,8,0.77197265625,0.3396321614583333,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_5e-06_800_True/images,True
dog2,1,8,0.68359375,0.3033377511160714,2,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_5e-06_400_True/images,True
cat,1,8,0.76904296875,0.3164230872844827,2,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_5e-06_400_True/images,True
dog6,1,8,0.72509765625,0.3013751055743243,160,5,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_800_False/images,False
clock,1,8,0.7548828125,0.3145403180803571,134,6,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_800_False/images,False
backpack,1,8,0.78466796875,0.3270053205818966,2,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_5e-06_400_True/images,True
dog6,1,8,0.72314453125,0.3009165171030405,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_1000_True/images,True
clock,1,8,0.7529296875,0.3166242327008928,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_1000_True/images,True
teapot,1,8,0.76513671875,0.3453450520833333,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_5e-06_1000_True/images,True
dog2,1,8,0.68994140625,0.3087193080357143,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_5e-06_800_True/images,True
cat,1,8,0.77294921875,0.3189486799568966,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_5e-06_800_True/images,True
dog6,1,8,0.736328125,0.2928499788851351,200,5,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_1000_False/images,False
clock,1,8,0.7509765625,0.3174961635044643,167,6,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_1000_False/images,False
backpack,1,8,0.78125,0.3253215921336206,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_5e-06_800_True/images,True
dog6,1,8,0.72021484375,0.3035228832347973,5,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_1200_True/images,True
clock,1,8,0.74755859375,0.3166416713169643,5,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_1200_True/images,True
teapot,1,8,0.77294921875,0.33916015625,5,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_5e-06_1200_True/images,True
dog6,1,8,0.72314453125,0.3022724873310811,2,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-06_400_True/images,True
clock,1,8,0.7421875,0.3153512137276785,2,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-06_400_True/images,True
dog6,1,8,0.73291015625,0.3006426836993243,240,5,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_1200_False/images,False
cat,1,8,0.775390625,0.3214069234913793,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_5e-06_1000_True/images,True
teapot,1,8,0.7626953125,0.3451334635416667,2,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_2e-06_400_True/images,True
dog2,1,8,0.68896484375,0.3072579520089286,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_5e-06_1000_True/images,True
clock,1,8,0.7529296875,0.3156215122767857,200,6,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_1200_False/images,False
dog6,1,8,0.7138671875,0.2982177734375,80,5,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-06_400_False/images,False
clock,1,8,0.73583984375,0.3201904296875,67,6,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-06_400_False/images,False
backpack,1,8,0.7783203125,0.3262055495689655,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_5e-06_1000_True/images,True
dog6,1,8,0.71826171875,0.300098316089527,4,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-06_800_True/images,True
clock,1,8,0.75146484375,0.3173828125,4,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-06_800_True/images,True
teapot,1,8,0.77392578125,0.3465413411458333,4,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_2e-06_800_True/images,True
dog6,1,8,0.7236328125,0.2978218697212837,160,5,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-06_800_False/images,False
clock,1,8,0.73974609375,0.3199026925223214,134,6,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-06_800_False/images,False
cat,1,8,0.7705078125,0.3131650727370689,5,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_5e-06_1200_True/images,True
dog2,1,8,0.6943359375,0.3035365513392857,5,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_5e-06_1200_True/images,True
dog6,1,8,0.71337890625,0.2949944573479729,4,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-06_1000_True/images,True
clock,1,8,0.7353515625,0.3204694475446428,4,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-06_1000_True/images,True
teapot,1,8,0.77587890625,0.3445149739583333,4,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_2e-06_1000_True/images,True
backpack,1,8,0.78125,0.334051724137931,5,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_5e-06_1200_True/images,True
cat,1,8,0.7783203125,0.3193948679956896,2,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_2e-06_400_True/images,True
dog6,1,8,0.72705078125,0.2953507706925675,200,5,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-06_1000_False/images,False
clock,1,8,0.75048828125,0.3119245256696428,167,6,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-06_1000_False/images,False
dog2,1,8,0.68798828125,0.3074114118303571,2,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_2e-06_400_True/images,True
backpack,1,8,0.787109375,0.3290847252155172,2,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_2e-06_400_True/images,True
dog6,1,8,0.7314453125,0.2986103779560811,5,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-06_1200_True/images,True
clock,1,8,0.73681640625,0.3150111607142857,5,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-06_1200_True/images,True
teapot,1,8,0.7744140625,0.3430908203125,5,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_2e-06_1200_True/images,True
cat,1,8,0.7890625,0.317273370150862,4,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_2e-06_800_True/images,True
clock,1,8,0.7392578125,0.3206525530133928,200,6,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-06_1200_False/images,False
dog6,1,8,0.73388671875,0.2969376847550675,240,5,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-06_1200_False/images,False
dog2,1,8,0.68017578125,0.3086774553571428,4,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_2e-06_800_True/images,True
dog6,1,8,0.7255859375,0.3016555373733108,2,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-06_400_True/images,True
clock,1,8,0.74951171875,0.3191964285714285,2,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-06_400_True/images,True
teapot,1,8,0.779296875,0.3415201822916666,2,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_1e-06_400_True/images,True
clock,1,8,0.75732421875,0.3109654017857143,67,6,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-06_400_False/images,False
dog6,1,8,0.7177734375,0.2985081028293919,80,5,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-06_400_False/images,False
backpack,1,8,0.78125,0.3259108970905172,4,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_2e-06_800_True/images,True
clock,1,8,0.7529296875,0.3204781668526785,4,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-06_800_True/images,True
dog6,1,8,0.7275390625,0.2975018475506756,4,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-06_800_True/images,True
teapot,1,8,0.76513671875,0.3498372395833333,4,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_1e-06_800_True/images,True
clock,1,8,0.74462890625,0.3176967075892857,134,6,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-06_800_False/images,False
cat,1,8,0.78173828125,0.3142847521551724,4,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_2e-06_1000_True/images,True
dog6,1,8,0.72607421875,0.3028993348817567,160,5,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-06_800_False/images,False
dog2,1,8,0.68408203125,0.3047223772321428,4,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_2e-06_1000_True/images,True
clock,1,8,0.74462890625,0.3151942661830357,4,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-06_1000_True/images,True
backpack,1,8,0.7890625,0.3268622036637931,4,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_2e-06_1000_True/images,True
dog6,1,8,0.73046875,0.2988677153716216,4,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-06_1000_True/images,True
teapot,1,8,0.771484375,0.3443929036458333,4,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_1e-06_1000_True/images,True
clock,1,8,0.740234375,0.3172520228794643,167,6,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-06_1000_False/images,False
dog6,1,8,0.7060546875,0.3014509871199324,200,5,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-06_1000_False/images,False
cat,1,8,0.77099609375,0.3211627828663793,5,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_2e-06_1200_True/images,True
dog2,1,8,0.6865234375,0.3047433035714286,5,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_2e-06_1200_True/images,True
clock,1,8,0.7314453125,0.3191615513392857,5,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-06_1200_True/images,True
teapot,1,8,0.76806640625,0.3442138671875,5,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_1e-06_1200_True/images,True
dog6,1,8,0.72509765625,0.3006723764780405,5,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-06_1200_True/images,True
clock,1,8,0.75732421875,0.3186122349330357,200,6,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-06_1200_False/images,False
dog6,1,8,0.7158203125,0.2970795502533784,240,5,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-06_1200_False/images,False
clock,1,8,0.7509765625,0.3177228655133928,2,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-05_400_True/images,True
backpack,1,8,0.787109375,0.3286469558189655,5,250,5e-06,2e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_2e-06_1200_True/images,True
cat,1,8,0.775390625,0.3201609644396552,2,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_1e-06_400_True/images,True
teapot,1,8,0.7802734375,0.3394856770833333,2,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_5e-05_400_True/images,True
dog6,1,8,0.72216796875,0.2974490603885135,2,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-05_400_True/images,True
dog2,1,8,0.6923828125,0.3084193638392857,2,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_1e-06_400_True/images,True
clock,1,8,0.75048828125,0.3167637416294643,67,6,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-05_400_False/images,False
dog6,1,8,0.7314453125,0.2972016205658784,80,5,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-05_400_False/images,False
backpack,1,8,0.7822265625,0.3260540140086206,2,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_1e-06_400_True/images,True
clock,1,8,0.77294921875,0.3052891322544643,4,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-05_800_True/images,True
teapot,1,8,0.78173828125,0.3393147786458333,4,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_5e-05_800_True/images,True
dog6,1,8,0.74609375,0.2906065244932432,4,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-05_800_True/images,True
clock,1,8,0.7880859375,0.3006068638392857,134,6,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-05_800_False/images,False
cat,1,8,0.77880859375,0.3178584657866379,4,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_1e-06_800_True/images,True
dog6,1,8,0.75244140625,0.2909661370354729,160,5,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-05_800_False/images,False
dog2,1,8,0.701171875,0.3049560546875,4,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_1e-06_800_True/images,True
backpack,1,8,0.78515625,0.3307431977370689,4,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_1e-06_800_True/images,True
clock,1,8,0.77099609375,0.3095877511160714,4,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-05_1000_True/images,True
teapot,1,8,0.78271484375,0.3416829427083333,4,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_5e-05_1000_True/images,True
dog6,1,8,0.74755859375,0.2930512299408784,4,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-05_1000_True/images,True
clock,1,8,0.79248046875,0.2996564592633928,167,6,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-05_1000_False/images,False
dog6,1,8,0.74169921875,0.2911772856841216,200,5,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-05_1000_False/images,False
cat,1,8,0.7783203125,0.3115486934267241,4,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_1e-06_1000_True/images,True
dog2,1,8,0.68359375,0.3014857700892857,4,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_1e-06_1000_True/images,True
clock,1,8,0.7802734375,0.3019060407366071,5,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-05_1200_True/images,True
backpack,1,8,0.78125,0.3301286368534483,4,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_1e-06_1000_True/images,True
clock,1,8,0.7998046875,0.3040858677455357,200,6,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-05_1200_False/images,False
teapot,1,8,0.7890625,0.3353108723958333,5,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_5e-05_1200_True/images,True
dog6,1,8,0.7509765625,0.2955586201435811,5,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-05_1200_True/images,True
dog6,1,8,0.74755859375,0.2972610061233108,240,5,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-05_1200_False/images,False
clock,1,8,0.7626953125,0.3153424944196428,2,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-05_400_True/images,True
clock,1,8,0.74072265625,0.3135986328125,67,6,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-05_400_False/images,False
