Dataset_Name,Adaptor,lora_rank,clipi,clipt,num_train_epochs,no_of_images,learning_rate,learning_rate_text,alpha_text,alpha_unet,output_path,with_prior_preservation
teapot,1,8,0.76953125,0.3432210286458333,2,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_2e-05_400_True/images,True
dog6,1,8,0.728515625,0.2944797825168919,2,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-05_400_True/images,True
dog6,1,8,0.73779296875,0.2975447371199324,80,5,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-05_400_False/images,False
cat,1,8,0.77490234375,0.3194622171336206,5,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_1e-06_1200_True/images,True
clock,1,8,0.75,0.31549072265625,4,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-05_800_True/images,True
dog2,1,8,0.68994140625,0.3110491071428571,5,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_1e-06_1200_True/images,True
clock,1,8,0.76318359375,0.3147147042410714,134,6,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-05_800_False/images,False
teapot,1,8,0.79052734375,0.3431315104166667,4,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_2e-05_800_True/images,True
dog6,1,8,0.73388671875,0.2983035525760135,4,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-05_800_True/images,True
backpack,1,8,0.7880859375,0.3252205684267241,5,250,5e-06,1e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_1e-06_1200_True/images,True
dog6,1,8,0.73583984375,0.2985212996199324,160,5,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-05_800_False/images,False
cat,1,8,0.7841796875,0.3159684806034483,2,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_5e-05_400_True/images,True
dog2,1,8,0.69384765625,0.3095179966517857,2,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_5e-05_400_True/images,True
clock,1,8,0.75634765625,0.3183332170758928,4,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-05_1000_True/images,True
backpack,1,8,0.76953125,0.3207713160021552,2,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_5e-05_400_True/images,True
clock,1,8,0.76953125,0.3120378766741071,167,6,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-05_1000_False/images,False
teapot,1,8,0.7880859375,0.3393880208333333,4,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_2e-05_1000_True/images,True
dog6,1,8,0.7333984375,0.2974325644003378,4,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-05_1000_True/images,True
dog6,1,8,0.73681640625,0.2974259660050675,200,5,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-05_1000_False/images,False
cat,1,8,0.783203125,0.3086653084590517,4,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_5e-05_800_True/images,True
dog2,1,8,0.70947265625,0.3003871372767857,4,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_5e-05_800_True/images,True
backpack,1,8,0.78857421875,0.3287058863146552,4,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_5e-05_800_True/images,True
clock,1,8,0.7578125,0.3110613141741071,5,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-05_1200_True/images,True
clock,1,8,0.7724609375,0.3091169084821428,200,6,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_2e-05_1200_False/images,False
teapot,1,8,0.775390625,0.3454996744791667,5,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_2e-05_1200_True/images,True
dog6,1,8,0.7373046875,0.2971917229729729,5,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-05_1200_True/images,True
dog6,1,8,0.72802734375,0.2931535050675675,240,5,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_2e-05_1200_False/images,False
clock,1,8,0.7548828125,0.3157610212053571,2,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-05_400_True/images,True
clock,1,8,0.76220703125,0.3111746651785714,67,6,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-05_400_False/images,False
teapot,1,8,0.77685546875,0.3497477213541666,2,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_1e-05_400_True/images,True
cat,1,8,0.78515625,0.3149203596443966,4,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_5e-05_1000_True/images,True
dog6,1,8,0.73095703125,0.2975084459459459,2,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-05_400_True/images,True
dog6,1,8,0.72705078125,0.2941135715793919,80,5,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-05_400_False/images,False
dog2,1,8,0.71142578125,0.3027797154017857,4,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_5e-05_1000_True/images,True
clock,1,8,0.75048828125,0.3173304966517857,4,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-05_800_True/images,True
clock,1,8,0.74853515625,0.3195277622767857,134,6,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-05_800_False/images,False
backpack,1,8,0.79345703125,0.3336476293103448,4,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_5e-05_1000_True/images,True
teapot,1,8,0.775390625,0.343310546875,4,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_1e-05_800_True/images,True
dog6,1,8,0.7265625,0.2986928578969595,4,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-05_800_True/images,True
dog6,1,8,0.7275390625,0.2974391627956081,160,5,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-05_800_False/images,False
clock,1,8,0.744140625,0.3172781808035714,167,6,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-05_1000_False/images,False
clock,1,8,0.7568359375,0.3222220284598214,4,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-05_1000_True/images,True
cat,1,8,0.8056640625,0.3099659886853448,5,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_5e-05_1200_True/images,True
teapot,1,8,0.78173828125,0.3367757161458333,4,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_1e-05_1000_True/images,True
dog6,1,8,0.73828125,0.2908110747466216,200,5,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-05_1000_False/images,False
dog2,1,8,0.720703125,0.3030412946428571,5,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_5e-05_1200_True/images,True
dog6,1,8,0.72900390625,0.2991019584037162,4,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-05_1000_True/images,True
backpack,1,8,0.80078125,0.322088833512931,5,250,5e-06,5e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_5e-05_1200_True/images,True
cat,1,8,0.7802734375,0.3164146686422414,2,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_2e-05_400_True/images,True
dog2,1,8,0.6943359375,0.3071393694196428,2,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_2e-05_400_True/images,True
clock,1,8,0.7431640625,0.3200509207589285,200,6,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-05_1200_False/images,False
clock,1,8,0.75537109375,0.3150547572544643,5,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_1e-05_1200_True/images,True
backpack,1,8,0.77978515625,0.3277966729525862,2,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_2e-05_400_True/images,True
teapot,1,8,0.77978515625,0.3405843098958333,5,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_1e-05_1200_True/images,True
clock,1,8,0.8251953125,0.2821786063058035,67,6,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0005_400_False/images,False
dog6,1,8,0.720703125,0.2971092430320945,240,5,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-05_1200_False/images,False
clock,1,8,0.78173828125,0.3035714285714285,2,250,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0005_400_True/images,True
dog6,1,8,0.728515625,0.2983200485641892,5,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_1e-05_1200_True/images,True
teapot,1,8,0.8115234375,0.3262532552083333,2,250,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_0.0005_400_True/images,True
cat,1,8,0.77880859375,0.3216426454741379,4,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_2e-05_800_True/images,True
dog6,1,8,0.80126953125,0.2914709142736486,80,5,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0005_400_False/images,False
dog6,1,8,0.77392578125,0.2938661317567567,2,250,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0005_400_True/images,True
dog2,1,8,0.703125,0.3076416015625,4,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_2e-05_800_True/images,True
clock,1,8,0.8134765625,0.2789960588727678,134,6,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0005_800_False/images,False
backpack,1,8,0.79345703125,0.3267359240301724,4,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_2e-05_800_True/images,True
clock,1,8,0.7998046875,0.2907671247209821,4,250,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0005_800_True/images,True
teapot,1,8,0.8173828125,0.3267252604166666,4,250,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_0.0005_800_True/images,True
dog6,1,8,0.80224609375,0.2703857421875,160,5,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0005_800_False/images,False
dog6,1,8,0.78271484375,0.2821209881756756,4,250,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0005_800_True/images,True
cat,1,8,0.775390625,0.3163220635775862,4,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_2e-05_1000_True/images,True
clock,1,8,0.8154296875,0.2925022670200893,167,6,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0005_1000_False/images,False
clock,1,8,0.7861328125,0.30035400390625,4,250,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0005_1000_True/images,True
dog2,1,8,0.69580078125,0.3039725167410714,4,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_2e-05_1000_True/images,True
teapot,1,8,0.81591796875,0.3266845703125,4,250,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_0.0005_1000_True/images,True
backpack,1,8,0.77734375,0.3272410425646552,4,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_2e-05_1000_True/images,True
dog6,1,8,0.83203125,0.2660703916807432,200,5,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0005_1000_False/images,False
dog6,1,8,0.76708984375,0.2856478304476351,4,250,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0005_1000_True/images,True
clock,1,8,0.82080078125,0.2833295549665178,200,6,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0005_1200_False/images,False
clock,1,8,0.80615234375,0.2899431501116071,5,250,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0005_1200_True/images,True
cat,1,8,0.79150390625,0.3153370824353448,5,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_2e-05_1200_True/images,True
teapot,1,8,0.7958984375,0.3312418619791666,5,250,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_0.0005_1200_True/images,True
clock,1,8,0.79248046875,0.3037894112723214,67,6,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0001_400_False/images,False
dog6,1,8,0.8095703125,0.2806198532516892,240,5,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0005_1200_False/images,False
clock,1,8,0.7646484375,0.3133806501116071,2,250,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0001_400_True/images,True
dog6,1,8,0.81689453125,0.2799270217483108,5,250,5e-06,0.0005,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0005_1200_True/images,True
dog2,1,8,0.70361328125,0.3093680245535714,5,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_2e-05_1200_True/images,True
teapot,1,8,0.7890625,0.3394938151041666,2,250,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_0.0001_400_True/images,True
backpack,1,8,0.798828125,0.3259614089439655,5,250,5e-06,2e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_2e-05_1200_True/images,True
cat,1,8,0.77880859375,0.3220972521551724,2,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_1e-05_400_True/images,True
dog6,1,8,0.74609375,0.299487964527027,80,5,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0001_400_False/images,False
clock,1,8,0.798828125,0.2963910784040178,134,6,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0001_800_False/images,False
dog6,1,8,0.75,0.2935593063766892,2,250,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0001_400_True/images,True
clock,1,8,0.779296875,0.3002668108258928,4,250,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0001_800_True/images,True
dog2,1,8,0.6962890625,0.2987827845982143,2,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_1e-05_400_True/images,True
backpack,1,8,0.77490234375,0.3288658405172414,2,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_1e-05_400_True/images,True
teapot,1,8,0.79150390625,0.333544921875,4,250,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_0.0001_800_True/images,True
dog6,1,8,0.7509765625,0.2944797825168919,160,5,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0001_800_False/images,False
cat,1,8,0.767578125,0.3196895204741379,4,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_1e-05_800_True/images,True
dog6,1,8,0.75048828125,0.2985476932010135,4,250,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0001_800_True/images,True
clock,1,8,0.80078125,0.29669189453125,167,6,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0001_1000_False/images,False
clock,1,8,0.7822265625,0.3042428152901785,4,250,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0001_1000_True/images,True
dog2,1,8,0.69384765625,0.307421875,4,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_1e-05_800_True/images,True
backpack,1,8,0.7890625,0.3270979256465517,4,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_1e-05_800_True/images,True
teapot,1,8,0.794921875,0.3340169270833333,4,250,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_0.0001_1000_True/images,True
dog6,1,8,0.7578125,0.2958456503378378,200,5,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0001_1000_False/images,False
dog6,1,8,0.76708984375,0.2945424672719595,4,250,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0001_1000_True/images,True
clock,1,8,0.810546875,0.2908848353794643,200,6,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0001_1200_False/images,False
cat,1,8,0.775390625,0.3158716662176724,4,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_1e-05_1000_True/images,True
clock,1,8,0.78466796875,0.3017229352678571,5,250,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_0.0001_1200_True/images,True
clock,1,8,0.7421875,0.3152378627232143,67,6,2e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_2e-06_5e-06_400_False/images,False
teapot,1,8,0.80322265625,0.33779296875,5,250,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_0.0001_1200_True/images,True
dog2,1,8,0.6962890625,0.3060511997767857,4,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_1e-05_1000_True/images,True
backpack,1,8,0.78173828125,0.3287648168103448,4,250,5e-06,1e-05,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_1e-05_1000_True/images,True
dog6,1,8,0.76708984375,0.2904943517736486,240,5,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0001_1200_False/images,False
clock,1,8,0.75830078125,0.3179931640625,2,250,2e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_2e-06_5e-06_400_True/images,True
dog6,1,8,0.74267578125,0.297778980152027,5,250,5e-06,0.0001,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_0.0001_1200_True/images,True
